,Actual,Prediction,isAccurate
320,5,5,True
321,5,5,True
322,4,4,True
323,5,5,True
324,4,4,True
325,4,4,True
326,1,1,True
327,5,5,True
328,4,5,False
329,4,4,True
330,5,5,True
331,1,1,True
332,5,5,True
333,4,4,True
334,1,1,True
335,5,5,True
336,5,5,True
337,5,5,True
338,5,5,True
339,5,5,True
340,5,5,True
341,2,2,True
342,5,5,True
343,5,5,True
344,5,5,True
345,5,5,True
346,5,5,True
347,5,5,True
348,3,3,True
349,5,5,True
350,5,5,True
351,5,5,True
352,4,4,True
353,1,1,True
354,5,5,True
355,4,4,True
356,1,5,False
357,3,3,True
358,4,4,True
359,1,1,True
360,5,5,True
361,5,5,True
362,5,5,True
363,1,1,True
364,5,5,True
365,4,4,True
366,5,5,True
367,4,4,True
368,5,5,True
369,5,5,True
370,5,5,True
371,4,4,True
372,4,4,True
373,5,5,True
374,2,2,True
375,5,5,True
376,2,2,True
377,5,5,True
378,5,5,True
379,5,5,True
380,5,5,True
381,5,5,True
382,1,1,True
383,5,5,True
384,5,5,True
385,4,4,True
386,1,1,True
387,4,4,True
388,2,2,True
389,5,5,True
390,3,3,True
391,5,5,True
392,1,1,True
393,5,5,True
394,5,5,True
395,1,1,True
396,4,5,False
397,1,1,True
398,5,5,True
399,5,5,True
400,5,5,True
401,4,4,True
402,4,4,True
403,5,5,True
404,3,3,True
405,4,4,True
406,1,1,True
407,4,5,False
408,1,1,True
409,5,5,True
410,5,5,True
411,4,4,True
412,5,5,True
413,5,5,True
414,5,5,True
415,5,5,True
416,4,4,True
417,1,1,True
418,1,1,True
419,5,5,True
420,5,5,True
421,5,5,True
422,1,1,True
423,5,5,True
424,5,5,True
425,5,5,True
426,5,5,True
427,3,3,True
428,5,5,True
429,1,1,True
430,4,4,True
431,1,1,True
432,5,5,True
433,5,5,True
434,5,5,True
435,5,5,True
436,3,3,True
437,5,5,True
438,5,4,False
439,4,4,True
440,5,5,True
441,4,4,True
442,4,4,True
443,5,5,True
444,1,1,True
445,4,5,False
446,5,5,True
447,4,4,True
448,3,3,True
449,3,3,True
450,5,5,True
451,2,2,True
452,5,5,True
453,4,4,True
454,3,3,True
455,4,4,True
456,5,5,True
457,5,5,True
458,5,5,True
459,5,5,True
460,5,5,True
461,5,5,True
462,5,5,True
463,4,4,True
464,2,2,True
465,4,4,True
466,5,3,False
467,3,3,True
468,4,4,True
469,5,5,True
470,5,5,True
471,3,3,True
472,2,2,True
473,5,5,True
474,5,5,True
475,5,5,True
476,3,3,True
477,5,5,True
478,4,4,True
479,5,5,True
480,5,5,True
481,5,5,True
482,5,5,True
483,5,5,True
484,5,5,True
485,4,4,True
486,5,5,True
487,4,4,True
488,5,4,False
489,4,4,True
490,5,5,True
491,4,4,True
492,5,5,True
493,5,5,True
494,4,4,True
495,5,5,True
496,5,5,True
497,5,5,True
498,1,1,True
499,4,4,True
500,1,1,True
501,5,5,True
502,4,4,True
503,5,5,True
504,5,5,True
505,5,5,True
506,5,5,True
507,5,5,True
508,5,5,True
509,1,1,True
510,3,3,True
511,5,4,False
512,1,1,True
513,5,5,True
514,2,2,True
515,1,1,True
516,5,5,True
517,1,1,True
518,5,5,True
519,4,4,True
520,5,5,True
521,5,5,True
522,5,5,True
523,5,5,True
524,5,5,True
525,3,3,True
526,5,5,True
527,5,5,True
528,5,5,True
529,2,2,True
530,5,5,True
531,2,1,False
532,3,3,True
533,5,5,True
534,5,5,True
535,1,1,True
536,5,4,False
537,5,5,True
538,2,2,True
539,5,5,True
540,1,1,True
541,5,5,True
542,3,5,False
543,4,4,True
544,1,1,True
545,4,4,True
546,1,1,True
547,5,5,True
548,1,1,True
549,1,1,True
550,4,5,False
551,5,5,True
552,5,5,True
553,4,4,True
554,5,5,True
555,4,3,False
556,3,3,True
557,4,4,True
558,5,5,True
559,4,4,True
560,5,5,True
561,5,5,True
562,5,5,True
563,5,5,True
564,4,4,True
565,4,4,True
566,4,4,True
567,5,5,True
568,1,1,True
569,3,3,True
570,5,5,True
571,5,5,True
572,5,5,True
573,4,4,True
574,2,2,True
575,1,1,True
576,3,3,True
577,2,2,True
578,5,5,True
579,5,5,True
580,1,1,True
581,1,1,True
582,4,4,True
583,5,5,True
584,1,1,True
585,1,1,True
586,4,4,True
587,5,5,True
588,3,3,True
589,5,5,True
590,5,5,True
591,5,4,False
592,5,5,True
593,5,5,True
594,3,3,True
595,4,4,True
596,5,5,True
597,1,1,True
598,3,3,True
599,5,5,True
600,5,5,True
601,5,5,True
602,2,2,True
603,5,5,True
604,1,1,True
605,4,4,True
606,5,5,True
607,5,5,True
608,5,5,True
609,1,1,True
610,4,4,True
611,5,5,True
612,1,1,True
613,5,5,True
614,4,4,True
615,4,4,True
616,1,1,True
617,4,4,True
618,5,5,True
619,3,5,False
620,5,5,True
621,5,5,True
622,3,3,True
623,1,1,True
624,1,1,True
625,3,3,True
626,4,4,True
627,4,4,True
628,4,4,True
629,5,5,True
630,1,1,True
631,5,5,True
632,4,4,True
633,3,3,True
634,5,5,True
635,5,5,True
636,5,5,True
637,5,5,True
638,5,5,True
639,1,1,True
640,5,5,True
641,5,5,True
642,1,1,True
643,4,4,True
644,5,5,True
645,5,5,True
646,1,1,True
647,1,1,True
648,4,4,True
649,5,5,True
650,5,5,True
651,4,4,True
652,1,1,True
653,5,5,True
654,5,5,True
655,5,5,True
656,4,4,True
657,5,5,True
658,5,5,True
659,5,5,True
660,1,1,True
661,5,5,True
662,4,4,True
663,4,5,False
664,5,5,True
665,5,5,True
666,5,5,True
667,5,5,True
668,4,4,True
669,3,5,False
670,1,1,True
671,1,1,True
672,4,4,True
673,4,4,True
674,2,2,True
675,5,5,True
676,5,5,True
677,1,1,True
678,1,1,True
679,5,5,True
680,1,1,True
681,5,5,True
682,5,5,True
683,1,1,True
684,5,5,True
685,4,4,True
686,5,5,True
687,4,4,True
688,1,1,True
689,5,5,True
690,5,5,True
691,5,5,True
692,5,5,True
693,1,1,True
694,2,2,True
695,5,5,True
696,5,5,True
697,5,5,True
698,5,5,True
699,5,5,True
700,5,5,True
701,1,1,True
702,5,5,True
703,1,1,True
704,5,5,True
705,5,5,True
706,4,5,False
707,1,1,True
708,5,5,True
709,5,5,True
710,5,5,True
711,1,1,True
712,5,5,True
713,4,4,True
714,4,4,True
715,5,5,True
716,2,2,True
717,2,2,True
718,5,5,True
719,1,1,True
720,5,5,True
721,5,5,True
722,1,1,True
723,4,4,True
724,1,5,False
725,5,5,True
726,5,5,True
727,5,5,True
728,5,5,True
729,5,5,True
730,4,4,True
731,5,5,True
732,5,5,True
733,5,5,True
734,1,1,True
735,4,4,True
736,1,1,True
737,5,5,True
738,5,5,True
739,5,5,True
740,5,5,True
741,5,5,True
742,4,4,True
743,5,5,True
744,5,5,True
745,1,1,True
746,5,5,True
747,5,5,True
748,1,1,True
749,5,5,True
750,5,5,True
751,5,5,True
752,5,5,True
753,5,5,True
754,5,5,True
755,4,4,True
756,1,1,True
757,5,5,True
758,4,4,True
759,5,5,True
760,5,5,True
761,5,5,True
762,1,1,True
763,5,5,True
764,1,1,True
765,5,5,True
766,4,4,True
767,5,5,True
768,5,5,True
769,5,5,True
770,5,5,True
771,5,5,True
772,1,1,True
773,4,4,True
774,5,5,True
775,5,5,True
776,1,1,True
777,5,5,True
778,3,3,True
779,5,5,True
780,2,2,True
781,5,5,True
782,5,5,True
783,5,5,True
784,1,1,True
785,5,5,True
786,5,5,True
787,5,5,True
788,5,5,True
789,5,5,True
790,1,4,False
791,5,5,True
792,5,5,True
793,1,1,True
794,2,2,True
795,5,5,True
796,4,4,True
797,1,1,True
798,5,5,True
799,5,5,True
800,1,1,True
801,5,5,True
802,1,1,True
803,5,5,True
804,1,1,True
805,1,1,True
806,5,5,True
807,3,3,True
808,4,4,True
809,1,1,True
810,5,5,True
811,5,5,True
812,5,5,True
813,5,5,True
814,4,4,True
815,3,3,True
816,1,1,True
817,5,5,True
818,5,5,True
819,5,5,True
820,4,4,True
821,5,5,True
822,4,4,True
823,3,3,True
824,5,5,True
825,5,2,False
826,5,5,True
827,2,5,False
828,4,5,False
829,3,3,True
830,5,5,True
831,4,4,True
832,1,1,True
833,5,5,True
834,4,4,True
835,1,1,True
836,4,4,True
837,5,5,True
838,3,3,True
839,4,4,True
840,4,4,True
841,3,3,True
842,4,4,True
843,4,4,True
844,3,3,True
845,5,5,True
846,5,5,True
847,5,5,True
848,5,1,False
849,1,1,True
850,5,4,False
851,5,5,True
852,4,4,True
853,3,3,True
854,1,1,True
855,5,5,True
856,5,5,True
857,5,5,True
858,1,1,True
859,5,5,True
860,5,1,False
861,5,5,True
862,1,1,True
863,5,5,True
864,5,5,True
865,5,5,True
866,1,1,True
867,5,5,True
868,5,5,True
869,5,5,True
870,5,5,True
871,5,5,True
872,5,4,False
873,4,4,True
874,4,4,True
875,5,5,True
876,5,5,True
877,5,5,True
878,5,5,True
879,5,5,True
880,5,5,True
881,5,5,True
882,1,1,True
883,5,5,True
884,5,5,True
885,5,5,True
886,4,4,True
887,3,3,True
888,1,1,True
889,4,4,True
890,2,2,True
891,1,1,True
892,5,5,True
893,5,5,True
894,5,5,True
895,5,5,True
896,3,3,True
897,4,4,True
898,2,2,True
899,1,1,True
900,5,5,True
901,4,4,True
902,3,3,True
903,5,5,True
904,1,1,True
905,5,5,True
906,5,5,True
907,4,5,False
908,5,5,True
909,5,5,True
910,5,5,True
911,5,5,True
912,1,1,True
913,5,5,True
914,5,5,True
915,5,5,True
916,1,1,True
917,5,5,True
918,2,2,True
919,3,3,True
920,5,5,True
921,5,5,True
922,3,3,True
923,5,5,True
924,4,5,False
925,4,4,True
926,5,5,True
927,1,1,True
928,5,5,True
929,3,3,True
930,3,3,True
931,4,4,True
932,4,5,False
933,4,4,True
934,4,4,True
935,5,5,True
936,3,3,True
937,5,5,True
938,4,4,True
939,5,5,True
940,1,1,True
941,5,5,True
942,5,5,True
943,5,5,True
944,4,4,True
945,5,5,True
946,5,5,True
947,5,5,True
948,1,1,True
949,4,4,True
950,3,3,True
951,4,4,True
952,5,5,True
953,2,2,True
954,5,5,True
955,3,3,True
956,5,5,True
957,5,5,True
958,1,1,True
959,3,3,True
960,5,5,True
961,1,1,True
962,5,5,True
963,5,5,True
964,5,5,True
965,5,5,True
966,5,5,True
967,1,1,True
968,4,4,True
969,4,4,True
970,5,5,True
971,5,5,True
972,5,5,True
973,5,5,True
974,4,4,True
975,5,5,True
976,1,1,True
977,4,4,True
978,5,5,True
979,4,4,True
980,1,1,True
981,5,5,True
982,5,5,True
983,5,5,True
984,4,4,True
985,1,1,True
986,2,2,True
987,2,2,True
988,1,1,True
989,5,5,True
990,4,4,True
991,1,1,True
992,5,5,True
993,2,2,True
994,4,4,True
995,2,2,True
996,5,5,True
997,4,4,True
998,4,4,True
999,5,5,True
1000,5,5,True
1001,5,5,True
1002,5,5,True
1003,1,1,True
1004,5,5,True
1005,3,5,False
1006,5,5,True
1007,1,1,True
1008,4,4,True
1009,4,4,True
1010,1,1,True
1011,5,5,True
1012,4,4,True
1013,1,1,True
1014,3,3,True
1015,4,4,True
1016,5,5,True
1017,5,5,True
1018,5,5,True
1019,5,5,True
1020,5,5,True
1021,5,5,True
1022,5,5,True
1023,5,5,True
1024,1,1,True
1025,5,4,False
1026,4,4,True
1027,5,5,True
1028,5,5,True
1029,1,1,True
1030,5,5,True
1031,5,5,True
1032,5,5,True
1033,1,1,True
1034,1,1,True
1035,5,5,True
1036,5,5,True
1037,2,2,True
1038,1,1,True
1039,3,3,True
1040,2,2,True
1041,2,2,True
1042,4,4,True
1043,5,5,True
1044,5,5,True
1045,5,5,True
1046,5,5,True
1047,1,1,True
1048,5,5,True
1049,1,1,True
1050,5,5,True
1051,5,5,True
1052,3,3,True
1053,5,5,True
1054,5,5,True
1055,1,1,True
1056,5,5,True
1057,5,5,True
1058,4,4,True
1059,5,5,True
1060,3,3,True
1061,5,5,True
1062,5,5,True
1063,5,5,True
1064,5,5,True
1065,5,5,True
1066,5,5,True
1067,5,5,True
1068,1,1,True
1069,4,4,True
1070,5,5,True
1071,5,5,True
1072,5,5,True
1073,5,5,True
1074,5,5,True
1075,5,5,True
1076,4,4,True
1077,5,5,True
1078,4,4,True
1079,3,3,True
1080,5,5,True
1081,5,5,True
1082,1,1,True
1083,5,5,True
1084,4,4,True
1085,5,5,True
1086,5,5,True
1087,5,5,True
1088,1,1,True
1089,5,5,True
1090,4,4,True
1091,5,5,True
1092,5,5,True
1093,4,4,True
1094,5,5,True
1095,5,5,True
1096,1,1,True
1097,5,5,True
1098,4,4,True
1099,1,1,True
1100,5,5,True
1101,5,5,True
1102,1,1,True
1103,1,1,True
1104,3,4,False
1105,5,5,True
1106,1,1,True
1107,1,1,True
1108,5,5,True
1109,5,5,True
1110,1,1,True
1111,1,1,True
1112,5,5,True
1113,5,5,True
1114,2,2,True
1115,5,5,True
1116,2,2,True
1117,5,5,True
1118,5,5,True
1119,5,5,True
1120,4,4,True
1121,3,3,True
1122,5,4,False
1123,5,5,True
1124,3,3,True
1125,5,5,True
1126,5,5,True
1127,1,1,True
1128,5,5,True
1129,5,5,True
1130,5,5,True
1131,5,5,True
1132,5,5,True
1133,5,5,True
1134,4,4,True
1135,4,4,True
1136,5,5,True
1137,5,5,True
1138,5,5,True
1139,1,1,True
1140,2,5,False
1141,5,5,True
1142,1,1,True
1143,5,5,True
1144,5,5,True
1145,3,3,True
1146,5,5,True
1147,4,4,True
1148,5,5,True
1149,5,5,True
1150,5,5,True
1151,3,3,True
1152,3,3,True
1153,5,5,True
1154,5,5,True
1155,5,5,True
1156,5,4,False
1157,5,5,True
1158,5,5,True
1159,5,5,True
1160,4,4,True
1161,4,5,False
1162,5,5,True
1163,5,5,True
1164,5,5,True
1165,5,5,True
1166,1,1,True
1167,5,5,True
1168,5,5,True
1169,5,5,True
1170,1,1,True
1171,4,4,True
1172,5,5,True
1173,1,1,True
1174,5,5,True
1175,5,5,True
1176,4,4,True
1177,5,5,True
1178,4,4,True
1179,5,5,True
1180,5,5,True
1181,2,2,True
1182,5,5,True
1183,4,4,True
1184,4,4,True
1185,4,4,True
1186,5,5,True
1187,1,1,True
1188,1,1,True
1189,5,5,True
1190,5,5,True
1191,5,5,True
1192,5,5,True
1193,3,3,True
1194,5,5,True
1195,5,5,True
1196,1,1,True
1197,5,5,True
1198,1,1,True
1199,5,5,True
1200,5,5,True
1201,4,4,True
1202,5,5,True
1203,5,5,True
1204,5,5,True
1205,1,1,True
1206,1,1,True
1207,5,5,True
1208,5,5,True
1209,1,1,True
1210,5,5,True
1211,5,5,True
1212,4,5,False
1213,4,4,True
1214,1,1,True
1215,5,5,True
1216,4,5,False
1217,2,2,True
1218,1,1,True
1219,1,1,True
1220,3,3,True
1221,5,5,True
1222,5,5,True
1223,5,5,True
1224,5,5,True
1225,5,5,True
1226,5,5,True
1227,3,3,True
1228,1,1,True
1229,5,5,True
1230,4,4,True
1231,2,2,True
1232,4,4,True
1233,5,5,True
1234,5,5,True
1235,5,5,True
1236,4,4,True
1237,4,4,True
1238,5,5,True
1239,1,1,True
1240,4,4,True
1241,5,5,True
1242,5,5,True
1243,2,2,True
1244,5,5,True
1245,4,4,True
1246,1,1,True
1247,1,1,True
1248,1,1,True
1249,1,1,True
1250,1,1,True
1251,1,1,True
1252,5,5,True
1253,3,3,True
1254,1,1,True
1255,1,1,True
1256,1,1,True
1257,5,5,True
1258,4,4,True
1259,5,5,True
1260,1,1,True
1261,5,5,True
1262,1,1,True
1263,3,3,True
1264,5,5,True
1265,5,5,True
1266,4,4,True
1267,5,5,True
1268,2,2,True
1269,5,5,True
1270,5,5,True
1271,5,5,True
1272,5,5,True
1273,4,4,True
1274,5,5,True
1275,3,3,True
1276,1,1,True
1277,5,5,True
1278,1,1,True
1279,1,1,True
1280,5,5,True
1281,5,5,True
1282,5,5,True
1283,5,5,True
1284,4,4,True
1285,3,3,True
1286,5,5,True
1287,5,5,True
1288,4,4,True
1289,5,5,True
1290,5,5,True
1291,1,1,True
1292,5,5,True
1293,5,5,True
1294,5,5,True
1295,5,5,True
1296,4,4,True
1297,1,1,True
1298,5,5,True
1299,2,2,True
1300,1,1,True
1301,5,5,True
1302,5,5,True
1303,1,1,True
1304,5,5,True
1305,5,5,True
1306,1,1,True
1307,5,5,True
1308,4,4,True
1309,5,5,True
1310,5,5,True
1311,5,5,True
1312,5,5,True
1313,3,5,False
1314,5,5,True
1315,5,5,True
1316,5,5,True
1317,1,1,True
1318,4,4,True
1319,5,5,True
1320,3,3,True
1321,4,4,True
1322,4,4,True
1323,5,5,True
1324,1,1,True
1325,5,5,True
1326,5,5,True
1327,5,5,True
1328,5,5,True
1329,5,5,True
1330,5,5,True
1331,5,5,True
1332,4,4,True
1333,4,4,True
1334,5,5,True
1335,4,4,True
1336,4,4,True
1337,3,3,True
1338,1,1,True
1339,5,5,True
1340,5,5,True
1341,4,4,True
1342,5,5,True
1343,5,5,True
1344,5,5,True
1345,2,2,True
1346,5,5,True
1347,5,5,True
1348,5,5,True
1349,5,5,True
1350,5,5,True
1351,4,4,True
1352,5,5,True
1353,5,5,True
1354,4,4,True
1355,5,5,True
1356,3,3,True
1357,4,5,False
1358,5,5,True
1359,1,1,True
1360,5,5,True
1361,1,1,True
1362,5,5,True
1363,1,1,True
1364,1,1,True
1365,5,5,True
1366,5,5,True
1367,5,5,True
1368,1,1,True
1369,5,5,True
1370,1,1,True
1371,4,4,True
1372,1,1,True
1373,4,4,True
1374,5,5,True
1375,5,5,True
1376,4,4,True
1377,5,5,True
1378,4,4,True
1379,5,5,True
1380,5,5,True
1381,4,4,True
1382,1,1,True
1383,5,5,True
1384,5,5,True
1385,5,5,True
1386,1,1,True
1387,4,4,True
1388,5,5,True
1389,5,5,True
1390,2,2,True
1391,5,5,True
1392,1,1,True
1393,1,1,True
1394,5,5,True
1395,5,5,True
1396,5,5,True
1397,5,5,True
1398,4,4,True
1399,5,5,True
1400,5,5,True
1401,5,5,True
1402,5,5,True
1403,5,5,True
1404,4,4,True
1405,5,5,True
1406,3,3,True
1407,3,3,True
1408,1,1,True
1409,4,4,True
1410,5,5,True
1411,1,1,True
1412,3,3,True
1413,5,5,True
1414,4,4,True
1415,4,4,True
1416,5,5,True
1417,5,5,True
1418,5,5,True
1419,5,5,True
1420,4,4,True
1421,5,5,True
1422,4,4,True
1423,1,1,True
1424,2,2,True
1425,5,5,True
1426,5,5,True
1427,5,5,True
1428,5,5,True
1429,4,4,True
1430,5,5,True
1431,5,5,True
1432,1,1,True
1433,5,5,True
1434,5,5,True
1435,4,4,True
1436,5,5,True
1437,5,5,True
1438,1,1,True
1439,5,5,True
1440,5,5,True
1441,3,1,False
1442,1,1,True
1443,1,1,True
1444,5,5,True
1445,5,5,True
1446,1,1,True
1447,4,4,True
1448,5,4,False
1449,5,5,True
1450,3,3,True
1451,5,5,True
1452,5,5,True
1453,1,1,True
1454,5,5,True
1455,5,5,True
1456,4,4,True
1457,4,4,True
1458,5,5,True
1459,1,1,True
1460,4,4,True
1461,3,3,True
1462,1,1,True
1463,5,5,True
1464,5,4,False
1465,2,2,True
1466,5,5,True
1467,5,5,True
1468,3,3,True
1469,1,1,True
1470,5,5,True
1471,5,5,True
1472,5,5,True
1473,5,5,True
1474,4,5,False
1475,5,5,True
1476,5,5,True
1477,5,5,True
1478,5,5,True
1479,2,2,True
1480,5,5,True
1481,2,5,False
1482,5,5,True
1483,3,3,True
1484,5,5,True
1485,5,5,True
1486,4,4,True
1487,5,5,True
1488,1,1,True
1489,5,5,True
1490,4,4,True
1491,3,5,False
1492,2,2,True
1493,5,5,True
1494,5,5,True
1495,1,1,True
1496,2,2,True
1497,5,5,True
1498,5,5,True
1499,5,5,True
1500,5,5,True
1501,5,5,True
1502,5,5,True
1503,5,5,True
1504,5,5,True
1505,1,1,True
1506,4,4,True
1507,4,4,True
1508,5,5,True
1509,3,3,True
1510,5,5,True
1511,5,5,True
1512,5,5,True
1513,5,5,True
1514,5,5,True
1515,3,3,True
1516,5,5,True
1517,1,1,True
1518,2,2,True
1519,5,5,True
1520,5,5,True
1521,1,1,True
1522,4,4,True
1523,5,5,True
1524,5,5,True
1525,5,5,True
1526,5,5,True
1527,1,1,True
1528,5,5,True
1529,5,5,True
1530,3,3,True
1531,5,5,True
1532,5,5,True
1533,5,5,True
1534,4,4,True
1535,1,1,True
1536,5,5,True
1537,5,5,True
1538,4,4,True
1539,5,5,True
1540,5,5,True
1541,1,1,True
1542,5,5,True
1543,5,5,True
1544,5,5,True
1545,5,5,True
1546,4,4,True
1547,5,5,True
1548,5,5,True
1549,2,2,True
1550,5,4,False
1551,4,4,True
1552,5,5,True
1553,1,1,True
1554,4,4,True
1555,1,1,True
1556,4,4,True
1557,5,5,True
1558,5,1,False
1559,1,1,True
1560,2,2,True
1561,5,5,True
1562,4,4,True
1563,1,1,True
1564,3,3,True
1565,3,3,True
1566,4,4,True
1567,5,5,True
1568,5,5,True
1569,5,5,True
1570,5,4,False
1571,5,5,True
1572,1,1,True
1573,5,5,True
1574,5,5,True
1575,4,5,False
1576,4,4,True
1577,4,4,True
1578,1,1,True
1579,4,4,True
1580,5,5,True
1581,5,5,True
1582,4,4,True
1583,4,5,False
1584,3,3,True
1585,5,5,True
1586,5,5,True
1587,5,5,True
1588,2,2,True
1589,1,1,True
1590,4,4,True
1591,5,5,True
1592,5,5,True
1593,5,5,True
1594,1,1,True
1595,5,5,True
1596,4,4,True
1597,4,4,True
1598,5,5,True
1599,4,4,True
1600,1,1,True
1601,1,1,True
1602,4,4,True
1603,5,5,True
1604,1,1,True
1605,5,5,True
1606,5,5,True
1607,5,5,True
1608,1,1,True
1609,1,1,True
1610,5,5,True
1611,5,5,True
1612,5,5,True
1613,5,5,True
1614,5,5,True
1615,1,1,True
1616,1,1,True
1617,5,5,True
1618,3,3,True
1619,2,2,True
1620,5,5,True
1621,5,5,True
1622,5,5,True
1623,5,5,True
1624,5,5,True
1625,1,1,True
1626,2,2,True
1627,5,5,True
1628,5,5,True
1629,5,5,True
1630,4,4,True
1631,1,1,True
1632,4,4,True
1633,4,4,True
1634,5,5,True
1635,5,5,True
1636,1,1,True
1637,5,5,True
1638,4,4,True
1639,3,4,False
1640,4,4,True
1641,5,5,True
1642,5,5,True
1643,5,5,True
1644,5,5,True
1645,4,4,True
1646,5,5,True
1647,5,5,True
1648,5,5,True
1649,5,5,True
1650,5,5,True
1651,5,5,True
1652,5,5,True
1653,5,5,True
1654,1,1,True
1655,5,5,True
1656,5,5,True
1657,4,4,True
1658,5,5,True
1659,1,1,True
1660,5,5,True
1661,5,5,True
1662,5,5,True
