,Actual,Prediction,Difference
246,5,5.0,0.0
247,5,4.9,0.09999999999999964
248,5,4.825613553113554,0.17438644688644622
249,5,4.8,0.20000000000000018
250,5,4.9,0.09999999999999964
251,2,2.0,0.0
252,1,1.8,-0.8
253,4,4.0,0.0
254,4,4.2,-0.20000000000000018
255,5,4.5,0.5
256,5,4.8,0.20000000000000018
257,4,4.3,-0.2999999999999998
258,5,5.0,0.0
259,5,5.0,0.0
260,5,4.570793650793651,0.4292063492063489
261,5,4.9,0.09999999999999964
262,4,3.9648673730361708,0.03513262696382924
263,4,3.335,0.665
264,5,4.2,0.7999999999999998
265,5,3.8,1.2000000000000002
266,5,4.9,0.09999999999999964
267,3,4.3,-1.2999999999999998
268,5,5.0,0.0
269,5,4.7,0.2999999999999998
270,4,4.0,0.0
271,4,4.3,-0.2999999999999998
272,5,5.0,0.0
273,1,1.0,0.0
274,5,4.9,0.09999999999999964
275,4,4.1,-0.09999999999999964
276,3,3.0,0.0
277,5,5.0,0.0
278,4,3.9,0.10000000000000009
279,1,1.0,0.0
280,5,5.0,0.0
281,5,4.4,0.5999999999999996
282,3,3.6,-0.6000000000000001
283,5,4.5,0.5
284,5,5.0,0.0
285,1,1.0,0.0
286,5,4.95,0.04999999999999982
287,4,3.3,0.7000000000000002
288,5,4.9,0.09999999999999964
289,1,1.0,0.0
290,4,4.3,-0.2999999999999998
291,5,4.9,0.09999999999999964
292,3,3.5,-0.5
293,4,4.0,0.0
294,5,3.815377839394867,1.1846221606051328
295,5,4.566666666666666,0.43333333333333357
296,3,3.3,-0.2999999999999998
297,5,4.0,1.0
298,4,4.2,-0.20000000000000018
299,1,1.1,-0.10000000000000009
300,5,5.0,0.0
301,5,5.0,0.0
302,4,4.0,0.0
303,5,4.8,0.20000000000000018
304,5,4.8,0.20000000000000018
305,5,5.0,0.0
306,5,5.0,0.0
307,5,5.0,0.0
308,1,1.6,-0.6000000000000001
309,5,4.9,0.09999999999999964
310,2,2.1,-0.10000000000000009
311,1,2.9,-1.9
312,5,5.0,0.0
313,5,5.0,0.0
314,3,3.0,0.0
315,4,3.9,0.10000000000000009
316,5,4.3,0.7000000000000002
317,5,4.9,0.09999999999999964
318,4,4.0,0.0
319,5,4.3,0.7000000000000002
320,5,5.0,0.0
321,5,4.9,0.09999999999999964
322,4,4.0,0.0
323,5,5.0,0.0
324,4,3.8,0.20000000000000018
325,4,3.8,0.20000000000000018
326,1,1.0,0.0
327,5,4.6,0.40000000000000036
328,4,4.4,-0.40000000000000036
329,4,4.5,-0.5
330,5,5.0,0.0
331,1,1.0,0.0
332,5,5.0,0.0
333,4,4.1,-0.09999999999999964
334,1,1.4,-0.3999999999999999
335,5,4.9,0.09999999999999964
336,5,5.0,0.0
337,5,4.9,0.09999999999999964
338,5,5.0,0.0
339,5,5.0,0.0
340,5,4.8,0.20000000000000018
341,2,2.4,-0.3999999999999999
342,5,5.0,0.0
343,5,4.7,0.2999999999999998
344,5,5.0,0.0
345,5,4.8,0.20000000000000018
346,5,4.679951241114671,0.3200487588853287
347,5,5.0,0.0
348,3,3.3,-0.2999999999999998
349,5,5.0,0.0
350,5,4.6,0.40000000000000036
351,5,4.5,0.5
352,4,4.0,0.0
353,1,1.0,0.0
354,5,4.6,0.40000000000000036
355,4,4.0,0.0
356,1,3.343333333333333,-2.343333333333333
357,3,3.0,0.0
358,4,4.0,0.0
359,1,1.0,0.0
360,5,5.0,0.0
361,5,5.0,0.0
362,5,4.7,0.2999999999999998
363,1,1.0,0.0
364,5,5.0,0.0
365,4,4.0,0.0
366,5,4.9,0.09999999999999964
367,4,4.0,0.0
368,5,5.0,0.0
369,5,4.85,0.15000000000000036
370,5,4.2,0.7999999999999998
371,4,4.0,0.0
372,4,4.3,-0.2999999999999998
373,5,4.85,0.15000000000000036
374,2,2.0,0.0
375,5,5.0,0.0
376,2,2.0,0.0
377,5,4.166666666666667,0.833333333333333
378,5,5.0,0.0
379,5,4.9,0.09999999999999964
380,5,4.3,0.7000000000000002
381,5,5.0,0.0
382,1,1.0,0.0
383,5,4.433333333333333,0.5666666666666673
384,5,5.0,0.0
385,4,4.0,0.0
386,1,1.8,-0.8
387,4,4.1,-0.09999999999999964
388,2,2.4,-0.3999999999999999
389,5,4.4,0.5999999999999996
390,3,3.0,0.0
391,5,5.0,0.0
392,1,1.0,0.0
393,5,4.9,0.09999999999999964
394,5,4.666666666666667,0.33333333333333304
395,1,1.0,0.0
396,4,4.77404761904762,-0.7740476190476198
397,1,1.0,0.0
398,5,5.0,0.0
399,5,5.0,0.0
400,5,5.0,0.0
401,4,4.0,0.0
402,4,4.0,0.0
403,5,4.7,0.2999999999999998
404,3,3.0,0.0
405,4,4.0,0.0
406,1,1.0,0.0
407,4,4.45,-0.4500000000000002
408,1,1.0,0.0
409,5,5.0,0.0
410,5,5.0,0.0
411,4,4.0,0.0
412,5,5.0,0.0
413,5,4.5,0.5
414,5,4.9,0.09999999999999964
415,5,5.0,0.0
416,4,4.4,-0.40000000000000036
417,1,1.0,0.0
418,1,2.35,-1.35
419,5,4.7,0.2999999999999998
420,5,4.14,0.8600000000000003
421,5,4.7,0.2999999999999998
422,1,1.0,0.0
423,5,4.3,0.7000000000000002
424,5,5.0,0.0
425,5,5.0,0.0
426,5,5.0,0.0
427,3,3.5958333333333337,-0.5958333333333337
428,5,5.0,0.0
429,1,2.1,-1.1
430,4,3.863636363636364,0.1363636363636358
431,1,1.0,0.0
432,5,4.6,0.40000000000000036
433,5,5.0,0.0
434,5,5.0,0.0
435,5,5.0,0.0
436,3,3.0,0.0
437,5,4.9,0.09999999999999964
438,5,4.528333333333333,0.4716666666666667
439,4,4.0,0.0
440,5,5.0,0.0
441,4,4.0,0.0
442,4,4.3,-0.2999999999999998
443,5,4.6,0.40000000000000036
444,1,1.0,0.0
445,4,4.677213203463203,-0.6772132034632028
446,5,4.8,0.20000000000000018
447,4,3.75,0.25
448,3,3.0,0.0
449,3,3.0,0.0
450,5,4.6,0.40000000000000036
451,2,2.4,-0.3999999999999999
452,5,4.5600000000000005,0.4399999999999995
453,4,3.4,0.6000000000000001
454,3,3.0,0.0
455,4,4.0,0.0
456,5,4.8,0.20000000000000018
457,5,4.4,0.5999999999999996
458,5,4.8,0.20000000000000018
459,5,4.9,0.09999999999999964
460,5,5.0,0.0
461,5,4.9,0.09999999999999964
462,5,4.7,0.2999999999999998
463,4,4.166666666666667,-0.16666666666666696
464,2,2.3,-0.2999999999999998
465,4,4.1,-0.09999999999999964
466,5,3.4214285714285717,1.5785714285714283
467,3,3.7,-0.7000000000000002
468,4,4.386666666666667,-0.3866666666666667
469,5,5.0,0.0
470,5,5.0,0.0
471,3,3.3,-0.2999999999999998
472,2,2.6,-0.6000000000000001
473,5,5.0,0.0
474,5,4.5,0.5
475,5,5.0,0.0
476,3,3.8,-0.7999999999999998
477,5,4.2,0.7999999999999998
478,4,4.4,-0.40000000000000036
479,5,4.7,0.2999999999999998
480,5,4.2,0.7999999999999998
481,5,5.0,0.0
482,5,5.0,0.0
483,5,5.0,0.0
484,5,5.0,0.0
485,4,3.7,0.2999999999999998
486,5,4.7,0.2999999999999998
487,4,4.1,-0.09999999999999964
488,5,4.183333333333333,0.8166666666666673
489,4,4.0,0.0
490,5,4.8,0.20000000000000018
491,4,4.1,-0.09999999999999964
492,5,5.0,0.0
493,5,4.5,0.5
494,4,4.0,0.0
495,5,5.0,0.0
496,5,4.598333333333334,0.4016666666666664
497,5,4.665665766981556,0.3343342330184438
498,1,1.0,0.0
499,4,3.4,0.6000000000000001
500,1,1.0,0.0
501,5,5.0,0.0
502,4,4.0,0.0
503,5,5.0,0.0
504,5,4.119293206793207,0.8807067932067927
505,5,4.9,0.09999999999999964
506,5,4.8,0.20000000000000018
507,5,4.9,0.09999999999999964
508,5,5.0,0.0
509,1,1.0,0.0
510,3,3.0,0.0
511,5,4.4,0.5999999999999996
512,1,1.0,0.0
513,5,5.0,0.0
514,2,1.9,0.10000000000000009
515,1,2.75,-1.75
516,5,4.9,0.09999999999999964
517,1,2.4,-1.4
518,5,5.0,0.0
519,4,4.1,-0.09999999999999964
520,5,4.886966954614014,0.11303304538598624
521,5,4.483333333333333,0.5166666666666666
522,5,4.7,0.2999999999999998
523,5,4.9,0.09999999999999964
524,5,5.0,0.0
525,3,3.0,0.0
526,5,5.0,0.0
527,5,4.885389610389611,0.11461038961038916
528,5,4.751666666666667,0.24833333333333307
529,2,2.0,0.0
530,5,4.7,0.2999999999999998
531,2,1.4909072461410455,0.5090927538589545
532,3,3.6,-0.6000000000000001
533,5,5.0,0.0
534,5,4.8,0.20000000000000018
535,1,1.0,0.0
536,5,4.7,0.2999999999999998
537,5,5.0,0.0
538,2,2.3,-0.2999999999999998
539,5,4.8,0.20000000000000018
540,1,1.0,0.0
541,5,4.9,0.09999999999999964
542,3,4.612910481331534,-1.612910481331534
543,4,4.2,-0.20000000000000018
544,1,1.0,0.0
545,4,4.3,-0.2999999999999998
546,1,1.0,0.0
547,5,4.9,0.09999999999999964
548,1,2.2,-1.2000000000000002
549,1,1.0,0.0
550,4,3.815377839394867,0.1846221606051328
551,5,4.9,0.09999999999999964
552,5,5.0,0.0
553,4,3.8,0.20000000000000018
554,5,4.8,0.20000000000000018
555,4,3.3683333333333336,0.6316666666666664
556,3,3.0,0.0
557,4,4.2,-0.20000000000000018
558,5,5.0,0.0
559,4,4.515930735930736,-0.5159307359307359
560,5,5.0,0.0
561,5,4.9,0.09999999999999964
562,5,5.0,0.0
563,5,4.6,0.40000000000000036
564,4,4.0,0.0
565,4,3.6,0.3999999999999999
566,4,4.3,-0.2999999999999998
567,5,5.0,0.0
568,1,1.0,0.0
569,3,3.3,-0.2999999999999998
570,5,4.6,0.40000000000000036
571,5,5.0,0.0
572,5,5.0,0.0
573,4,4.2,-0.20000000000000018
574,2,2.4,-0.3999999999999999
575,1,1.4,-0.3999999999999999
576,3,3.0,0.0
577,2,2.0,0.0
578,5,5.0,0.0
579,5,5.0,0.0
580,1,1.0,0.0
581,1,2.6,-1.6
582,4,4.0,0.0
583,5,4.8,0.20000000000000018
584,1,1.0,0.0
585,1,1.0,0.0
586,4,4.2,-0.20000000000000018
587,5,5.0,0.0
588,3,3.8,-0.7999999999999998
589,5,5.0,0.0
590,5,3.9,1.1
591,5,4.3950000000000005,0.6049999999999995
592,5,4.8,0.20000000000000018
593,5,4.9,0.09999999999999964
594,3,3.0,0.0
595,4,3.9,0.10000000000000009
596,5,4.6,0.40000000000000036
597,1,1.3,-0.30000000000000004
598,3,3.5454545454545454,-0.5454545454545454
599,5,4.4,0.5999999999999996
600,5,3.2,1.7999999999999998
601,5,5.0,0.0
602,2,2.0,0.0
603,5,4.781984126984127,0.21801587301587322
604,1,1.0,0.0
605,4,4.0,0.0
606,5,4.0,1.0
607,5,5.0,0.0
608,5,5.0,0.0
609,1,1.0,0.0
610,4,3.9,0.10000000000000009
611,5,4.5,0.5
612,1,1.0,0.0
613,5,5.0,0.0
614,4,4.0,0.0
615,4,4.0,0.0
616,1,1.0,0.0
617,4,3.5166666666666666,0.4833333333333334
618,5,5.0,0.0
619,3,4.333333333333334,-1.333333333333334
620,5,4.8,0.20000000000000018
621,5,5.0,0.0
622,3,4.4,-1.4000000000000004
623,1,2.7199999999999998,-1.7199999999999998
624,1,1.4,-0.3999999999999999
625,3,3.6,-0.6000000000000001
626,4,3.6,0.3999999999999999
627,4,4.3,-0.2999999999999998
628,4,3.738809523809523,0.26119047619047686
629,5,4.4,0.5999999999999996
630,1,1.4,-0.3999999999999999
631,5,5.0,0.0
632,4,4.1,-0.09999999999999964
633,3,3.2,-0.20000000000000018
634,5,5.0,0.0
635,5,5.0,0.0
636,5,4.351666666666667,0.6483333333333334
637,5,4.9,0.09999999999999964
638,5,5.0,0.0
639,1,1.0,0.0
640,5,4.9,0.09999999999999964
641,5,5.0,0.0
642,1,1.7,-0.7
643,4,4.2,-0.20000000000000018
644,5,4.892532467532467,0.10746753246753293
645,5,5.0,0.0
646,1,2.5,-1.5
647,1,1.0,0.0
648,4,4.1,-0.09999999999999964
649,5,4.9399999999999995,0.0600000000000005
650,5,5.0,0.0
651,4,4.2,-0.20000000000000018
652,1,1.1,-0.10000000000000009
653,5,5.0,0.0
654,5,4.74,0.2599999999999998
655,5,5.0,0.0
656,4,4.3,-0.2999999999999998
657,5,4.763333333333334,0.23666666666666636
658,5,5.0,0.0
659,5,4.6,0.40000000000000036
660,1,1.7,-0.7
661,5,5.0,0.0
662,4,3.8,0.20000000000000018
663,4,4.5,-0.5
664,5,5.0,0.0
665,5,3.2423809523809526,1.7576190476190474
666,5,4.7,0.2999999999999998
667,5,4.7,0.2999999999999998
668,4,4.0,0.0
669,3,4.243191391941392,-1.2431913919413917
670,1,1.0,0.0
671,1,1.0,0.0
672,4,3.9,0.10000000000000009
673,4,3.6,0.3999999999999999
674,2,3.0479853479853483,-1.0479853479853483
675,5,4.8,0.20000000000000018
676,5,5.0,0.0
677,1,1.4,-0.3999999999999999
678,1,2.4,-1.4
679,5,4.733333333333333,0.2666666666666666
680,1,1.0,0.0
681,5,4.4,0.5999999999999996
682,5,5.0,0.0
683,1,1.3,-0.30000000000000004
684,5,4.9,0.09999999999999964
685,4,4.298333333333334,-0.2983333333333338
686,5,4.6,0.40000000000000036
687,4,4.3,-0.2999999999999998
688,1,2.7,-1.7000000000000002
689,5,5.0,0.0
690,5,4.4,0.5999999999999996
691,5,5.0,0.0
692,5,4.8,0.20000000000000018
693,1,1.0,0.0
694,2,2.0,0.0
695,5,4.6,0.40000000000000036
696,5,4.6,0.40000000000000036
697,5,5.0,0.0
698,5,4.9,0.09999999999999964
699,5,5.0,0.0
700,5,4.7,0.2999999999999998
701,1,1.0,0.0
702,5,5.0,0.0
703,1,1.8,-0.8
704,5,4.6,0.40000000000000036
705,5,5.0,0.0
706,4,3.8,0.20000000000000018
707,1,3.2,-2.2
708,5,4.6,0.40000000000000036
709,5,3.1,1.9
710,5,4.9,0.09999999999999964
711,1,1.4,-0.3999999999999999
712,5,5.0,0.0
713,4,4.0,0.0
714,4,4.1,-0.09999999999999964
715,5,5.0,0.0
716,2,2.8,-0.7999999999999998
717,2,2.0,0.0
718,5,5.0,0.0
719,1,1.8,-0.8
720,5,4.7,0.2999999999999998
721,5,4.9,0.09999999999999964
722,1,3.7,-2.7
723,4,4.0,0.0
724,1,2.433333333333333,-1.4333333333333331
725,5,4.8,0.20000000000000018
726,5,4.8,0.20000000000000018
727,5,4.6,0.40000000000000036
728,5,5.0,0.0
729,5,4.4,0.5999999999999996
730,4,4.3,-0.2999999999999998
731,5,5.0,0.0
732,5,5.0,0.0
733,5,4.3,0.7000000000000002
734,1,1.3,-0.30000000000000004
735,4,4.0,0.0
736,1,2.3,-1.2999999999999998
737,5,4.8,0.20000000000000018
738,5,5.0,0.0
739,5,4.650992063492064,0.3490079365079364
740,5,5.0,0.0
741,5,4.9,0.09999999999999964
742,4,4.0,0.0
743,5,5.0,0.0
744,5,4.6,0.40000000000000036
745,1,1.0,0.0
746,5,5.0,0.0
747,5,5.0,0.0
748,1,1.8,-0.8
749,5,4.9,0.09999999999999964
750,5,4.8,0.20000000000000018
751,5,5.0,0.0
752,5,4.2,0.7999999999999998
753,5,4.2,0.7999999999999998
754,5,4.4,0.5999999999999996
755,4,4.4,-0.40000000000000036
756,1,1.0,0.0
757,5,2.2,2.8
758,4,3.1,0.8999999999999999
759,5,5.0,0.0
760,5,5.0,0.0
761,5,4.4,0.5999999999999996
762,1,1.0,0.0
763,5,4.3,0.7000000000000002
764,1,2.0,-1.0
765,5,5.0,0.0
766,4,4.3,-0.2999999999999998
767,5,5.0,0.0
768,5,5.0,0.0
769,5,4.0657575757575755,0.9342424242424245
770,5,4.9,0.09999999999999964
771,5,4.6,0.40000000000000036
772,1,1.0,0.0
773,4,4.1,-0.09999999999999964
774,5,4.6,0.40000000000000036
775,5,4.8,0.20000000000000018
776,1,1.0,0.0
777,5,4.6,0.40000000000000036
778,3,3.0,0.0
779,5,4.5,0.5
780,2,1.7,0.30000000000000004
781,5,5.0,0.0
782,5,5.0,0.0
783,5,4.4,0.5999999999999996
784,1,1.8,-0.8
785,5,5.0,0.0
786,5,5.0,0.0
787,5,5.0,0.0
788,5,4.1,0.9000000000000004
789,5,4.6,0.40000000000000036
790,1,2.95,-1.9500000000000002
791,5,4.9,0.09999999999999964
792,5,4.6,0.40000000000000036
793,1,1.0,0.0
794,2,2.8,-0.7999999999999998
795,5,5.0,0.0
796,4,4.2,-0.20000000000000018
797,1,1.0,0.0
798,5,5.0,0.0
799,5,4.0,1.0
800,1,1.0,0.0
801,5,5.0,0.0
802,1,1.0,0.0
803,5,4.433333333333333,0.5666666666666673
804,1,1.0,0.0
805,1,1.0,0.0
806,5,4.6,0.40000000000000036
807,3,3.2,-0.20000000000000018
808,4,3.6385281385281387,0.3614718614718613
809,1,1.0,0.0
810,5,4.0657575757575755,0.9342424242424245
811,5,5.0,0.0
812,5,4.6,0.40000000000000036
813,5,5.0,0.0
814,4,3.3,0.7000000000000002
815,3,3.0,0.0
816,1,1.0,0.0
817,5,5.0,0.0
818,5,5.0,0.0
819,5,4.6,0.40000000000000036
820,4,4.3,-0.2999999999999998
821,5,5.0,0.0
822,4,3.7,0.2999999999999998
823,3,2.8,0.20000000000000018
824,5,4.4,0.5999999999999996
825,5,2.88,2.12
826,5,5.0,0.0
827,2,2.2,-0.20000000000000018
828,4,4.6,-0.5999999999999996
829,3,3.0,0.0
830,5,5.0,0.0
831,4,4.2,-0.20000000000000018
832,1,1.0,0.0
833,5,4.8,0.20000000000000018
834,4,4.1,-0.09999999999999964
835,1,1.0,0.0
836,4,4.0,0.0
837,5,5.0,0.0
838,3,3.2,-0.20000000000000018
839,4,4.2,-0.20000000000000018
840,4,4.3,-0.2999999999999998
841,3,3.0,0.0
842,4,4.0,0.0
843,4,3.6,0.3999999999999999
844,3,3.4,-0.3999999999999999
845,5,4.4528096533356,0.5471903466643999
846,5,4.8,0.20000000000000018
847,5,4.5,0.5
848,5,3.013287256140825,1.986712743859175
849,1,1.0,0.0
850,5,4.549999999999999,0.45000000000000107
851,5,4.5,0.5
852,4,4.0,0.0
853,3,3.0,0.0
854,1,1.4,-0.3999999999999999
855,5,4.4,0.5999999999999996
856,5,5.0,0.0
857,5,4.527269455690508,0.472730544309492
858,1,1.0,0.0
859,5,4.9,0.09999999999999964
860,5,2.8086435786435784,2.1913564213564216
861,5,5.0,0.0
862,1,1.0,0.0
863,5,5.0,0.0
864,5,4.9,0.09999999999999964
865,5,5.0,0.0
866,1,1.9,-0.8999999999999999
867,5,4.633333333333334,0.36666666666666625
868,5,4.4,0.5999999999999996
869,5,5.0,0.0
870,5,4.333333333333334,0.6666666666666661
871,5,4.5,0.5
872,5,4.310833333333333,0.6891666666666669
873,4,3.7,0.2999999999999998
874,4,3.7,0.2999999999999998
875,5,5.0,0.0
876,5,5.0,0.0
877,5,4.2,0.7999999999999998
878,5,4.6,0.40000000000000036
879,5,5.0,0.0
880,5,4.9,0.09999999999999964
881,5,3.9,1.1
882,1,2.0,-1.0
883,5,3.9,1.1
884,5,5.0,0.0
885,5,4.4,0.5999999999999996
886,4,4.2,-0.20000000000000018
887,3,3.0,0.0
888,1,1.0,0.0
889,4,4.4,-0.40000000000000036
890,2,2.0,0.0
891,1,1.0,0.0
892,5,5.0,0.0
893,5,4.5,0.5
894,5,4.9,0.09999999999999964
895,5,4.8,0.20000000000000018
896,3,3.0,0.0
897,4,3.8,0.20000000000000018
898,2,2.3,-0.2999999999999998
899,1,1.0,0.0
900,5,4.9,0.09999999999999964
901,4,4.221190476190476,-0.22119047619047638
902,3,3.0,0.0
903,5,5.0,0.0
904,1,1.0,0.0
905,5,4.3,0.7000000000000002
906,5,5.0,0.0
907,4,4.131388888888888,-0.1313888888888881
908,5,5.0,0.0
909,5,5.0,0.0
910,5,3.35,1.65
911,5,4.6,0.40000000000000036
912,1,1.5,-0.5
913,5,4.3,0.7000000000000002
914,5,4.75,0.25
915,5,5.0,0.0
916,1,1.0,0.0
917,5,5.0,0.0
918,2,2.0,0.0
919,3,3.0,0.0
920,5,5.0,0.0
921,5,4.516666666666667,0.4833333333333334
922,3,4.0,-1.0
923,5,5.0,0.0
924,4,3.842180735930736,0.15781926406926416
925,4,4.1,-0.09999999999999964
926,5,5.0,0.0
927,1,1.2,-0.19999999999999996
